titolo,descrizione,path_immagine,link_articolo,data
Si corre in Sicilia la prima edizione della Targa Florio famosa corsa automobilistica,"La Targa Florio è  la più antica corsa automobilistica di durata al mondo. Insieme alla Mille Miglia è tra le più note corse stradali italiane e, con la Carrera Panamericana, tra le maggiori competizioni mondiali su strada.",https://www.targaflorio.info/images/targaflorio01itala.jpg,https://it.wikipedia.org/wiki/Targa_Florio,1906/05/06
Riforma Gentile,"La riforma Gentile è una serie di atti normativi del Regno d'Italia che costituì una riforma scolastica organica varata in Italia. Prese il nome dall'ispiratore, il filosofo neoidealista Giovanni Gentile, Ministro della Pubblica Istruzione del governo Mussolini nel 1923 che la elaborò assieme a Giuseppe Lombardo Radice.",https://media.wsimag.com/attachments/1d4295d26202b29cc7af05072aff22338094cc85/store/fill/690/388/db0e15848628de3ada8aae89e1291ef57bd98da426524658016869db7bca/La-riforma-Gentile-e-la-fascistizzazione-della-scuola.jpg,https://it.wikipedia.org/wiki/Riforma_Gentile,1923/05/06
Terremoto del Friuli ,"Il terremoto del Friuli del 1976 fu un sisma di magnitudo 6.5 della scala Richter che colpì il Friuli, e i territori circostanti, alle ore 21:00:12, con ulteriori scosse l'11 e 15 settembre. È ricordato come il quinto peggior evento sismico che abbiano colpito l'Italia nel '900.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/USGS_Shakemap_-_1976_Friuli_earthquake.jpg/390px-USGS_Shakemap_-_1976_Friuli_earthquake.jpg,"https://it.wikipedia.org/wiki/Terremoto_del_Friuli_del_1976#:~:text=Il%20terremoto%20del%20Friuli%20del,l'11%20e%2015%20settembre.",1976/05/06
"Precettazione di tutti gli ebrei in Italia tra i 18 e i 55 per il servizio civile, in quanto le leggi razziali impedivano loro il servizio militare","Gli ebrei italiani furono colpiti dalla “precettazione civile a scopo di lavoro”, una misura che consisteva nell’obbligo di svolgere lavori di tipo manuale e interessò le persone di entrambi i sessi dai diciotto ai cinquant’anni, che non erano già internate per presunta o accertata pericolosità. 
Il fine della precettazione fu prevalentemente propagandistico: si volle cioè evitare che la condizione degli ebrei, esclusi dal servizio di leva dalle leggi antisemite, potesse apparire privilegiata.  ",http://www.pietredinciampo.eu/wp-content/uploads/2019/01/04_01_Approv.-leggi-difesa-razza.jpg,http://giustiemiliaromagna.it/linternamento-italiano-degli-ebrei-durante-la-seconda-guerra-mondiale/,1942/05/07
La Apple Computer presenta l'IMac,L'iMac è una famiglia di computer all-in-one prodotta dalla Apple e indirizzata inizialmente ad un pubblico che desidera un prodotto di utilizzo semplice.,https://www.saggiamente.com/wp-content/uploads/2018/05/imacg3-768x533.png,https://it.wikipedia.org/wiki/IMac,1998/05/07
Annessione ufficiale dell'Etiopia al Regno d'Italia; Vittorio Emanuele III viene proclamato imperatore d'Etiopia,"Il 9 maggio, dal balcone di Palazzo Venezia, Mussolini annunciò la fine della guerra e proclamò la nascita dell’Impero, riservando per Vittorio Emanuele III la carica di imperatore d’Etiopia e per entrambi quella di primo maresciallo dell’impero.",https://pbs.twimg.com/media/EXiPRnGXkAAJjA5?format=jpg&name=small,https://it.wikipedia.org/wiki/Guerra_d%27Etiopia,1936/05/09
Adolf Hitler e Benito Mussolini si incontrano a Firenze,"Il treno di Hitler giunse a Firenze nel primo pomeriggio del nove maggio 1938 proveniente da Roma. Al binario sedici, addobbato con fiori, bandiere, grandi stemmi sabaudi e fasci littori dorati, c’erano ad attenderlo Benito Mussolini, i ministri Ciano, Starace e Bottai, nonché tutte le maggiori autorità cittadine, i gerarchi del regime e una guida ‘turistica’ d’eccezione: Ranuccio Bianchi Bandinelli.

 ",https://patrimonio.archivioluce.com/luce-web/imageViewPort/720?imageName=ATTUALITA/FUHRER06/A00083008.JPG,https://www.storiadifirenze.org/?p=3286,1938/05/09
A Roma viene ritrovato il cadavere di Aldo Moro,"Aldo Moro fu sequestrato il 16 marzo 1978 a Roma dalle Brigate Rosse; il suo corpo senza vita fu ritrovato il 9 maggio successivo in via Caetani, nel centro della Capitale, al termine di 55 giorni di prigionia.",https://www.meteoweb.eu/wp-content/uploads/2016/05/Aldo-Moro.jpg,"https://it.wikipedia.org/wiki/Cronaca_del_sequestro_Moro#:~:text=Aldo%20Moro%20fu%20sequestrato%20il,di%2055%20giorni%20di%20prigionia.",1978/05/09
A Cinisi viene ritrovato il cadavere di Peppino Impastato,"Il giovane giornalista siciliano, impegnato nella lotta alla mafia,  fu prima tramortito a colpi di pietra e poi fatto saltare in aria con il tritolo sui binari del treno Palermo-Trapani. I pezzi del corpo di Giuseppe Impastato furono ritrovati la mattina del 9 maggio 1978",https://biografia.online/images/peppino-impastato-biografia.jpg,https://www.periodicodaily.com/9-maggio-1978-a-cinisi-viene-ritrovato-il-corpo-dilaniato-di-giuseppe-impastato/,1978/05/09
Giorno della Memoria delle vittime del terrorismo,"Il 'Giorno della Memoria' si è celebrato per la prima volta  giovedì 9 maggio 2013, a 35 anni dal ritrovamento del corpo di Aldo Moro, assassinato dalle Brigate Rosse.
Palazzo Madama ha ospitato questo importante evento per la vita democratica del nostro Paese, alla presenza delle massime autorità istituzionali della Repubblica.",https://www.comune.nole.to.it/it-it/immagine/img-76829-O-28-1061-0-0-d2fce1daae7f7ce9165ea4ea5772d7a7,https://www.senato.it/leg17/3379?evento=225,2013/05/09
